DZ,HB,Easting,Northing,urban,JSA2011,workpop2011
S01000254,Grampian,394012.463,811602.5155,1,0,524
S01000255,Grampian,392167.5848,811698.3859,1,3,405
S01000256,Grampian,390980.354,811811.7001,1,3,465
S01000257,Grampian,389052.4258,811938.7527,1,5,483
S01000258,Grampian,392302.3735,812081.4223,1,5,484
S01000259,Grampian,393877.5939,812091.6209,1,3,402
S01000260,Grampian,392677.3605,812220.0861,1,3,672
S01000261,Grampian,389238.2964,812566.6561,1,8,517
S01000262,Grampian,388818.5256,812742.9556,1,5,515
S01000263,Grampian,394323.7267,812849.9267,1,5,532
S01000264,Grampian,389390.5962,813072.5152,1,10,531
S01000265,Grampian,389009.7383,813112.4563,1,8,387
S01000266,Grampian,386008.8223,813351.7321,1,10,815
S01000267,Grampian,389260.1245,813365.3608,1,5,373
S01000268,Grampian,373498.0616,763486.9925,5,8,409
S01000269,Grampian,374146.369,765459.1896,5,5,435
S01000270,Grampian,368596.4996,767821.995,5,8,622
S01000271,Grampian,379368.8107,769432.5606,5,10,516
S01000272,Grampian,374630.0986,769583.2418,5,8,611
S01000273,Grampian,362592.1558,769925.1611,5,10,419
S01000274,Grampian,382626.5937,770832.856,5,0,406
S01000275,Grampian,371055.163,771337.1978,5,10,752
S01000276,Grampian,382740.9392,772221.8854,5,3,490
S01000277,Grampian,383149.817,772323.9188,5,5,443
S01000278,Grampian,382838.7675,772638.3156,5,5,316
S01000279,Grampian,370681.5282,773113.4137,5,5,556
S01000280,Grampian,383068.5955,774591.1773,5,8,470
S01000281,Grampian,364434.3048,775798.2725,5,5,417
S01000282,Grampian,377581.0546,775928.9011,5,5,491
S01000283,Grampian,371408.3511,780662.3325,5,5,621
S01000284,Grampian,384968.6964,781589.381,5,5,829
S01000285,Grampian,377799.6575,783153.7485,5,3,444
S01000286,Grampian,387543.8073,785519.0998,2,10,510
S01000287,Grampian,386613.8165,785530.7895,2,0,412
S01000288,Grampian,386008.072,785687.9889,2,5,507
S01000289,Grampian,386774.725,785855.4036,2,5,476
S01000290,Grampian,386357.4766,785898.8446,2,13,418
S01000291,Grampian,385885.4947,786089.9672,2,0,487
S01000292,Grampian,386817.8203,786120.4188,2,5,583
S01000293,Grampian,387534.981,786297.8296,2,5,492
S01000294,Grampian,385751.5835,786382.8201,2,0,462
S01000295,Grampian,386353.0209,786485.2805,2,0,303
S01000296,Grampian,387084.21,786570.6977,2,5,540
S01000297,Grampian,385958.8214,786611.7524,2,8,502
S01000298,Grampian,386005.527,787085.4284,2,3,603
S01000299,Grampian,364079.8658,787121.6798,6,5,667
S01000300,Grampian,383002.584,789308.2326,5,3,571
S01000301,Grampian,308469.7966,789753.0399,6,0,386
